text,label
這款遊戲的音樂真的非常好聽，每次進入新關卡都有驚喜。,2
操作手感很流暢，跳躍與跑步都非常順暢自然。,2
每一個關卡都有不同的機關設計，玩起來一點都不無聊。,2
畫面色彩繽紛，小朋友看了也會很喜歡。,2
關卡難度設計得剛剛好，有挑戰但不會太難。,2
Boss戰很有創意，不只是單純打，而是融入了技巧與反應。,2
角色動作超可愛，尤其是帽子的互動真的太萌了。,2
遊戲節奏掌握得很好，不會感到拖沓或無聊。,2
收集月亮的設計讓人一直有動力探索每一個角落。,2
雙人模式真的很適合跟家人或另一半一起玩。,2
每次過關的音效都讓人很有成就感。,2
遊戲裡的小細節很多，讓人玩了會一直發現驚喜。,2
故事劇情簡單溫馨，非常符合瑪利歐的風格。,2
操控帽子附身的玩法非常有創意，是系列的一大突破。,2
語言支援完整，繁體中文翻譯得也很到位。,2
整體遊戲體驗非常愉快，是近期玩過最推薦的遊戲之一。,2
帽子國的設計風格好夢幻，一看就喜歡上了。,2
通關之後還有很多額外要素可以挑戰，耐玩度很高。,2
好友排行榜系統讓我更想去突破高分。,2
音效與配樂搭配得恰到好處，沉浸感十足。,2
關卡種類豐富，從沙漠到雪地到城市，每一關都有風格。,2
角色變身的設計太有趣了，每次都讓人期待會變成什麼。,2
遊戲整體節奏明快，是放鬆心情的好選擇。,2
可以自由選擇想攻略的關卡，給玩家很大的自由度。,2
適合全年齡玩家，不論是大人小孩都能享受。,2
系統設計合理，介面簡潔易懂。,2
載入速度很快，遊戲體驗順暢不卡頓。,2
成就系統設計得很好，讓人玩了會想全部完成。,2
每次找到隱藏的要素都覺得很有成就感。,2
關卡音樂變化多，有些甚至讓我反覆聽好幾遍。,2
這款遊戲大致符合預期，流程安排得還算合理。,1
關卡種類很多，但有些設計會讓人覺得眼熟。,1
系統設定中規中矩，沒有太多創新也沒太多問題。,1
畫風是典型的任天堂風格，喜歡的人會喜歡。,1
操作需要一點時間適應，上手後會覺得還可以。,1
劇情本身沒什麼特別，就是簡單的一趟冒險旅程。,1
遊戲時間不長，休閒玩家應該會覺得剛剛好。,1
音樂風格和系列作差不多，沒什麼驚喜但不難聽。,1
適合想輕鬆玩遊戲的人，沒有太大壓力。,1
配音選擇不多，但基本上不影響遊戲體驗。,1
多人模式雖然設計不錯，但實際玩起來沒有特別突出。,1
道具使用方式簡單易懂，不需要太多說明。,1
整體來說是一款合格的系列作作品。,1
沒有很明顯的缺點，也沒有特別突出的優點。,1
畫面解析度中等，沒有特別驚艷但也不差。,1
系統介面設計偏向保守，操作不困難。,1
遊戲結束之後會有點空虛，但過程還算充實。,1
玩完一輪後比較沒有重玩意願。,1
劇情設計是標準的英雄救公主模式。,1
新機制不多，但經典玩法依然存在。,1
角色表現不算突出，但維持系列一貫風格。,1
背景音樂不會太吵，也不會特別吸引人。,1
控制有一點延遲，但還在可以接受的範圍內。,1
遊戲中規中矩，沒什麼明顯爛點。,1
適合拿來打發時間，期待值不宜太高。,1
沒有明顯Bug，但也沒什麼技術突破。,1
通關之後的後日談有點短，不夠過癮。,1
玩法和前作相似，喜歡的會繼續玩，不喜歡的不會改觀。,1
沒有語音敘事，只有字幕，有些人可能會覺得單調。,1
可玩性一般，還是得看玩家本身的偏好。,1
