text,label
帽子附身金屬箱的那一段設計太酷了！,2
奧德賽是我最愛的馬力歐之一，遊戲節奏抓得超棒,2
這款完全體現探索與創意的樂趣，玩不膩！,2
都市國那段演唱會真的超燃，超有代入感,2
畫面美到不行，每個國度都有自己風格,2
月亮收集帶來的成就感真的很爽快,2
跳躍的手感比起前作更順，熟悉後會停不下來,2
BOSS 設計各有特色，挑戰性很剛好,2
破關後的新月亮挑戰很刺激，是給進階玩家的獎勵,2
這是我唯一一款玩到 100% 完成的瑪利歐,2
從頭玩到尾都非常流暢，一氣呵成的節奏,2
玩家可以自由選擇順序進行國度探索,1
料理國的配色風格走的是鮮豔路線,1
月亮總數超過 800 顆，破關後仍可收集,1
某些場景會切換為 8-bit 操作方式,1
BOSS 多為一次性劇情戰，但形式變化大,1
操作帽子時需用特定按鍵搭配搖桿,1
支援 amiibo 可幫助尋找月亮位置,1
遊戲內設有簡單拍照模式，可儲存截圖,1
語音及字幕可依系統語言自動切換,1
Switch Pro 手把支援更好，體感功能較佳,1
城市國屬於開放式場景，有高度建築,1
水之國部分平台會漂浮，需抓準時機跳躍,1
BGM 部分由知名作曲家近藤浩治操刀,1
遊戲不支援多人連線，只能雙人本地,1
夜晚的沙漠國視覺變化滿明顯的,1
帽子有標準攻擊、定點旋轉、遠擲三種方式,1
攝影機有時卡在牆後，完全看不到角色,0
水中操作太飄了，每次都快溺死==,0
有些紫幣藏法太刁鑽了，只能靠攻略找,0
那個一命挑戰真的搞人心態，失誤重來很煩,0
BOSS 難度不平均，有的根本一招解，有的要重來十次,0
無帽關設計太苛刻，一失誤就全盤重來,0
料理國的角度切換讓我好幾次跳錯平台,0
跳繩小遊戲是認真惡夢級設計，沒耐心直接棄坑,0
破關前月亮太散，收集方向不明確,0
攝影機橫向移動太慢，常來不及轉視角,0
打完主線後沒提示新目標，完全迷路,0
月亮收集數量膨脹，有點過頭,0
附身控制有時不靈敏，延遲出招很嚴重,0
Switch 手把體感甩帽失敗率高到想砸手把,0
城市國交通設施擋視線很煩，跳躍一直失敗,0
一些月亮只是重複收集機制，沒新意,0
某些平台判定過小，容易跳歪直接摔死,0
破關後劇情沒延伸，有點空虛,0
主線劇情有點短，很快就打完了,0
用帽子解謎太依賴精準度，操作門檻高,0
有幾國 BOSS 是重複登場，略無聊,0
Switch 機器溫度高時明顯卡頓,0
因為沒玩過3D的瑪利歐， 相信有不少以前不常碰遊戲的人會認為， 瑪利歐3D的會好玩嗎？,1
打從奧德賽未上市前，在看預告的時候仍然保持這樣的感覺。,1
到開啟遊戲後，進入瀑布國， 那漂亮的場景還有預告片所聽到的熟悉音樂就完全改觀了。,2
 可以說在破關前，是非常不容易玩到膩的！,2
先防個雷加前言好了 距離破關大概已經一個多月了， 當初是趕著薩爾達中文化前的一個月開始趕進度，然後就沈浸在海拉魯的世界， 直到現在才打心得。,1
當初有接觸過的瑪利歐有家一三四代，還有gameboy上的二代， 這上面都不是自己的，所以說實在也沒全破過。 直到前年底iphone出了一款瑪利歐RUN才算是第一款購買的。,1
原來附身如此多變化、變成鐵球撞瀑布國兔王的狗狗 尋找月亮、紫幣是這麼的有樂趣。,2
還有打完頭目後有更多的月亮隱藏在各式各樣場景及小關卡裡面。,1
部份關卡融入了8bit風格的遊戲內容。,1
也是個人相當喜歡的一部份，補足了以前只能玩一下下的遺憾。,2
尤其都市國的慶典及裡面的1-1小關卡，連隱藏的1UP都有保留， 真的會讓人對這款遊戲愛不釋手。,2
月之國更背面的超長型關卡， 對喜歡動作遊戲的應該也都會很滿足才是，真的充滿了挑戰啊！,2
一段一段的摸熟，然後慢慢推進，真的覺得很不容易， 但突破之後就會覺得其實也沒那麼難嘛！,2
接下來說說一些個人覺得比較困難或有創意的紫幣及月亮 紫幣的話，除了料理國有3顆沒找到看YOUTUBE外，其他都靠一己之力， 結果看完後那三顆居然就在起點而已……,2
我真的逛超久。,0
月亮的話， 大家常提的月之背面的兩個無帽關， 無帽關拿到之後才發現，原來有一模一樣的關卡但是有帽子，這邊當然就輕而易舉的拿到 。,1
另外一個就是小遊戲中最高等級的彈跳博爾吧， 個人覺得這比無帽關還難… ,1
跳繩反而後面不看螢幕照節奏按很容易，不到十次就一百下了。 ,1
其他有一些是被雷到的月亮像是吐金幣種花…說真的沒看到板友推文我也想不到。,0
最覺得討厭的是看照片找月亮， 像大家來找碴這種明顯的還算簡單。,0
那個都市國的keep…能想到的我真的覺得很神， 一些完全想不到的我是直接放棄到網路上看攻略。,0
有入手 Switch的真的非常推薦同時入手這款啊！,2
即使是3D的瑪利歐，玩完後百分之八九十不會後悔的！,2
3D的瑪利歐 其實款款都是強作無誤。,2
有奧德賽就推。,2
我也是因為奧德賽才入手的，真心不後悔，處處都是驚豔。,2
奧德賽驚人之處在於收集月亮跟紫幣不會讓人很不耐煩。,2
反而覺得「靠怎麼會藏在那啦！XD」，本人有3D暈，從沒任何一款3D瑪破關過，奧德賽不只全破還連月亮更背面最後關卡都過了，突然也不暈了呢。,2
庫巴國的紫幣憑自己找到？,1
是啊，全紫幣就料理國有看而已，其他自己繞的,1
覺得庫巴國還好 都市國真的有一個地方是我自己的死角，不知道為啥三次的地毯式搜索都可以忽略那邊，最後再使用庫巴才找到。,1
"其實個人更喜歡3D的瑪莉歐,當初銀河瑪莉歐的震撼還更強。",0
有些關卡真的會玩到想摔手把XDD,0
什麼？ 要救薩爾達？ 不是都在搜刮材料嗎？Xdd,0
奧德賽真的是神作！,2
要不要挑戰看看薩爾達900大便不靠攻略 XD,1
個人覺得銀河的突破性跟震撼度比較高，還有音樂也是 :P,0
推推推 真的很好玩！,2
沒玩過N64馬力歐的話可以下載來玩玩。,2
奧德賽是在一個特定空間內…藏一堆梗、機關謎題。,1
很讓人驚艷，尤其靠自己找到很有成就感。,2
